rok;Białystok;Bydgoszcz;Gdańsk;Katowice;Kielce;Kraków;Lublin;Łódź;Olsztyn;Opole;Poznań;Rzeszów;Szczecin;Warszawa;Wrocław;Zielona_Góra
2006;-522;-839;-1401;;-688;-1217;-1138;-396;-1017;-3961;-531;-1210;-286;-183;-417;-615
2007;-168;-394;-597;;-287;-524;-475;-256;-569;-3317;-350;-582;13;7;-59;-435
2008;-63;-283;-207;-894;-237;-43;-111;-145;-424;-2174;-221;-68;-109;21;-277;-259
2009;53;-112;-16;-427;31;117;-16;21;-73;-875;-6;96;33;46;42;-22
2010;181;-149;-28;-499;-21;97;-59;-106;-62;-909;-52;56;-10;39;-26;-35
2011;35;-140;-84;-491;84;93;-118;-40;-55;-1263;-60;55;-18;78;-83;-112
2012;19;-186;-91;-691;38;68;-49;-136;-133;-1377;-83;9;25;63;-84;-132
2013;-204;-381;-275;-1048;-146;-116;-218;-294;-523;-1745;-194;-158;-69;-11;-364;-357
2014;-87;-454;-239;-782;-98;-70;-201;-212;-374;-1163;-177;-102;-168;-8;-302;-327
2015;;;;;;;;;;;;;;;;
2016;161;69;73;-426;172;103;227;0;-132;-553;44;204;-55;137;48;-25
2017;-21;107;62;-290;151;138;193;-48;-185;-470;40;170;-17;133;102;-101
2018;126;109;129;-181;122;119;184;57;-94;-584;48;223;8;1723;408;55
2019;252;151;161;-128;190;245;212;70;-7;-445;118;284;23;1935;327;148
2020;260;128;110;-42;84;191;141;39;-20;-372;128;243;10;1550;236;112
2021;306;67;104;-68;79;154;125;65;-45;-625;143;194;1247;1951;221;41
