rok,im,em,wsp_mig,miasto,cena
2006,302.0,824.0,-522.0,Białystok,2913.0
2006,168.0,1007.0,-839.0,Bydgoszcz,2564.25
2006,195.0,1596.0,-1401.0,Gdańsk,4186.0
2006,216.0,904.0,-688.0,Kielce,2719.15
2006,427.0,447.0,-20.0,Kraków,6361.75
2006,142.0,823.0,-681.0,Lublin,2994.75
2006,130.0,526.0,-396.0,Łódź,2641.75
2006,205.0,1222.0,-1017.0,Olsztyn,3075.01
2006,831.0,4792.0,-3961.0,Opole,3076.04
2006,106.0,515.0,-409.0,Poznań,3895.46
2006,573.0,1783.0,-1210.0,Rzeszów,2798.75
2006,472.0,758.0,-286.0,Szczecin,3207.28
2006,858.0,1038.0,-180.0,Warszawa,6291.5
2006,457.0,874.0,-417.0,Wrocław,4163.57
2006,217.0,832.0,-615.0,Zielona_Góra,2402.24
2007,317.0,485.0,-168.0,Białystok,4315.38
2007,290.0,684.0,-394.0,Bydgoszcz,3761.0
2007,438.0,1035.0,-597.0,Gdańsk,6160.0
2007,346.0,633.0,-287.0,Kielce,3735.3
2007,427.0,336.0,91.0,Kraków,7322.12
2007,244.0,526.0,-282.0,Lublin,3969.38
2007,162.0,418.0,-256.0,Łódź,4378.62
2007,291.0,860.0,-569.0,Olsztyn,4011.91
2007,1068.0,4385.0,-3317.0,Opole,3786.0
2007,108.0,414.0,-306.0,Poznań,5973.9
2007,594.0,1176.0,-582.0,Rzeszów,3975.75
2007,543.0,530.0,13.0,Szczecin,4423.58
2007,749.0,646.0,103.0,Warszawa,8234.0
2007,645.0,704.0,-59.0,Wrocław,6073.57
2007,280.0,715.0,-435.0,Zielona_Góra,3217.37
2008,166.0,229.0,-63.0,Białystok,4778.5
2008,200.0,483.0,-283.0,Bydgoszcz,4325.0
2008,162.0,369.0,-207.0,Gdańsk,6451.12
2008,316.0,1210.0,-894.0,Katowice,4632.15
2008,208.0,445.0,-237.0,Kielce,4392.16
2008,205.0,248.0,-43.0,Kraków,7198.62
2008,137.0,248.0,-111.0,Lublin,4879.25
2008,180.0,325.0,-145.0,Łódź,4602.62
2008,267.0,691.0,-424.0,Olsztyn,4537.52
2008,560.0,2734.0,-2174.0,Opole,3848.69
2008,113.0,334.0,-221.0,Poznań,6509.73
2008,249.0,317.0,-68.0,Rzeszów,4203.38
2008,176.0,285.0,-109.0,Szczecin,5063.64
2008,765.0,434.0,331.0,Warszawa,8582.62
2008,733.0,579.0,154.0,Wrocław,5705.2
2008,295.0,554.0,-259.0,Zielona_Góra,3597.79
2009,200.0,147.0,53.0,Białystok,4578.25
2009,207.0,319.0,-112.0,Bydgoszcz,4321.88
2009,183.0,199.0,-16.0,Gdańsk,5692.0
2009,382.0,809.0,-427.0,Katowice,4247.48
2009,259.0,228.0,31.0,Kielce,4377.97
2009,252.0,135.0,117.0,Kraków,6586.75
2009,124.0,140.0,-16.0,Lublin,4709.5
2009,184.0,163.0,21.0,Łódź,4366.75
2009,292.0,365.0,-73.0,Olsztyn,4449.04
2009,647.0,1522.0,-875.0,Opole,3653.36
2009,135.0,402.0,-267.0,Poznań,5770.68
2009,250.0,154.0,96.0,Rzeszów,3968.38
2009,210.0,115.0,95.0,Szczecin,4785.92
2009,793.0,313.0,480.0,Warszawa,7940.83
2009,788.0,366.0,422.0,Wrocław,5492.33
2009,295.0,317.0,-22.0,Zielona_Góra,3260.51
2010,348.0,167.0,181.0,Białystok,4518.25
2010,197.0,346.0,-149.0,Bydgoszcz,4258.25
2010,155.0,183.0,-28.0,Gdańsk,5608.39
2010,319.0,818.0,-499.0,Katowice,4267.0
2010,212.0,233.0,-21.0,Kielce,4446.09
2010,221.0,124.0,97.0,Kraków,6550.62
2010,104.0,163.0,-59.0,Lublin,4756.62
2010,192.0,298.0,-106.0,Łódź,4410.38
2010,297.0,359.0,-62.0,Olsztyn,4672.52
2010,476.0,1385.0,-909.0,Opole,3829.62
2010,125.0,445.0,-320.0,Poznań,5959.62
2010,197.0,141.0,56.0,Rzeszów,4198.5
2010,176.0,2.0,174.0,Szczecin,4564.75
2010,755.0,307.0,448.0,Warszawa,8199.58
2010,778.0,369.0,409.0,Wrocław,5866.0
2010,312.0,347.0,-35.0,Zielona_Góra,3311.88
2011,321.0,286.0,35.0,Białystok,4520.62
2011,219.0,359.0,-140.0,Bydgoszcz,4181.5
2011,171.0,255.0,-84.0,Gdańsk,5532.03
2011,330.0,821.0,-491.0,Katowice,4115.86
2011,289.0,205.0,84.0,Kielce,4560.18
2011,255.0,162.0,93.0,Kraków,6637.75
2011,110.0,228.0,-118.0,Lublin,4957.38
2011,182.0,222.0,-40.0,Łódź,4400.88
2011,308.0,363.0,-55.0,Olsztyn,4703.01
2011,490.0,1753.0,-1263.0,Opole,4346.52
2011,120.0,360.0,-240.0,Poznań,5831.1
2011,232.0,177.0,55.0,Rzeszów,4336.88
2011,144.0,5.0,139.0,Szczecin,4505.5
2011,805.0,382.0,423.0,Warszawa,7732.0
2011,688.0,427.0,261.0,Wrocław,5900.62
2011,294.0,406.0,-112.0,Zielona_Góra,3410.5
2012,257.0,238.0,19.0,Białystok,4265.12
2012,187.0,373.0,-186.0,Bydgoszcz,4003.88
2012,163.0,254.0,-91.0,Gdańsk,5333.54
2012,293.0,984.0,-691.0,Katowice,4156.87
2012,240.0,202.0,38.0,Kielce,4407.25
2012,255.0,187.0,68.0,Kraków,6386.59
2012,111.0,160.0,-49.0,Lublin,4816.38
2012,157.0,293.0,-136.0,Łódź,4035.0
2012,302.0,435.0,-133.0,Olsztyn,4369.2
2012,373.0,1750.0,-1377.0,Opole,4112.44
2012,124.0,331.0,-207.0,Poznań,5478.17
2012,208.0,199.0,9.0,Rzeszów,4377.38
2012,152.0,5.0,147.0,Szczecin,4290.64
2012,770.0,515.0,255.0,Warszawa,7105.15
2012,655.0,500.0,155.0,Wrocław,5537.0
2012,311.0,443.0,-132.0,Zielona_Góra,3391.0
2013,152.0,356.0,-204.0,Białystok,4138.62
2013,156.0,537.0,-381.0,Bydgoszcz,4079.62
2013,162.0,437.0,-275.0,Gdańsk,5319.36
2013,289.0,1337.0,-1048.0,Katowice,4053.49
2013,186.0,332.0,-146.0,Kielce,4237.83
2013,200.0,316.0,-116.0,Kraków,5903.08
2013,112.0,330.0,-218.0,Lublin,4684.12
2013,173.0,467.0,-294.0,Łódź,3952.75
2013,264.0,787.0,-523.0,Olsztyn,4250.96
2013,350.0,2095.0,-1745.0,Opole,4132.92
2013,94.0,466.0,-372.0,Poznań,5471.05
2013,160.0,318.0,-158.0,Rzeszów,4518.88
2013,124.0,4.0,120.0,Szczecin,4191.93
2013,712.0,608.0,104.0,Warszawa,7040.14
2013,553.0,599.0,-46.0,Wrocław,5305.0
2013,295.0,652.0,-357.0,Zielona_Góra,3340.75
2014,179.0,266.0,-87.0,Białystok,4098.75
2014,159.0,613.0,-454.0,Bydgoszcz,4068.25
2014,132.0,371.0,-239.0,Gdańsk,5363.92
2014,256.0,1038.0,-782.0,Katowice,4131.91
2014,224.0,322.0,-98.0,Kielce,4196.14
2014,200.0,270.0,-70.0,Kraków,5911.91
2014,111.0,312.0,-201.0,Lublin,4640.5
2014,220.0,432.0,-212.0,Łódź,4002.38
2014,248.0,622.0,-374.0,Olsztyn,4321.61
2014,401.0,1564.0,-1163.0,Opole,4153.79
2014,103.0,473.0,-370.0,Poznań,5561.51
2014,145.0,247.0,-102.0,Rzeszów,4584.12
2014,206.0,626.0,-420.0,Szczecin,4276.59
2014,683.0,640.0,43.0,Warszawa,7328.44
2014,588.0,526.0,62.0,Wrocław,5465.38
2014,268.0,595.0,-327.0,Zielona_Góra,3404.25
2016,306.0,145.0,161.0,Białystok,4288.38
2016,237.0,168.0,69.0,Bydgoszcz,4279.25
2016,183.0,110.0,73.0,Gdańsk,5931.48
2016,153.0,579.0,-426.0,Katowice,4294.16
2016,263.0,91.0,172.0,Kielce,4097.08
2016,249.0,146.0,103.0,Kraków,6090.83
2016,301.0,74.0,227.0,Lublin,4809.25
2016,205.0,205.0,0.0,Łódź,4035.75
2016,168.0,300.0,-132.0,Olsztyn,4497.73
2016,232.0,785.0,-553.0,Opole,4187.27
2016,238.0,79.0,159.0,Poznań,5725.29
2016,282.0,78.0,204.0,Rzeszów,4760.38
2016,157.0,333.0,-176.0,Szczecin,4404.91
2016,1194.0,150.0,1044.0,Warszawa,7532.25
2016,518.0,93.0,425.0,Wrocław,5720.62
2016,234.0,259.0,-25.0,Zielona_Góra,3467.25
2017,326.0,347.0,-21.0,Białystok,4325.12
2017,268.0,161.0,107.0,Bydgoszcz,4498.12
2017,179.0,117.0,62.0,Gdańsk,6348.52
2017,186.0,476.0,-290.0,Katowice,4410.57
2017,235.0,84.0,151.0,Kielce,4102.02
2017,265.0,127.0,138.0,Kraków,6395.24
2017,268.0,75.0,193.0,Lublin,4913.62
2017,548.0,376.0,172.0,Łódź,4304.25
2017,168.0,353.0,-185.0,Olsztyn,4660.16
2017,274.0,744.0,-470.0,Opole,4432.88
2017,215.0,37.0,178.0,Poznań,5860.89
2017,263.0,93.0,170.0,Rzeszów,4791.75
2017,224.0,373.0,-149.0,Szczecin,4694.59
2017,1085.0,193.0,892.0,Warszawa,7767.37
2017,459.0,102.0,357.0,Wrocław,5972.12
2017,188.0,289.0,-101.0,Zielona_Góra,3580.38
2018,379.0,253.0,126.0,Białystok,4859.38
2018,272.0,163.0,109.0,Bydgoszcz,4891.62
2018,229.0,100.0,129.0,Gdańsk,7217.05
2018,256.0,437.0,-181.0,Katowice,4802.17
2018,226.0,104.0,122.0,Kielce,4310.56
2018,274.0,155.0,119.0,Kraków,6725.19
2018,320.0,136.0,184.0,Lublin,5262.38
2018,241.0,184.0,57.0,Łódź,4747.75
2018,211.0,305.0,-94.0,Olsztyn,4976.68
2018,454.0,1038.0,-584.0,Opole,4837.0
2018,162.0,114.0,48.0,Poznań,6309.24
2018,293.0,70.0,223.0,Rzeszów,5091.0
2018,162.0,154.0,8.0,Szczecin,5105.03
2018,2061.0,338.0,1723.0,Warszawa,8382.08
2018,554.0,146.0,408.0,Wrocław,6385.25
2018,250.0,195.0,55.0,Zielona_Góra,3756.38
2019,431.0,179.0,252.0,Białystok,5363.63
2019,343.0,192.0,151.0,Bydgoszcz,5503.5
2019,238.0,77.0,161.0,Gdańsk,8121.81
2019,276.0,404.0,-128.0,Katowice,5630.27
2019,249.0,59.0,190.0,Kielce,4671.0
2019,354.0,109.0,245.0,Kraków,7414.86
2019,370.0,158.0,212.0,Lublin,5715.06
2019,249.0,179.0,70.0,Łódź,5272.62
2019,218.0,225.0,-7.0,Olsztyn,5451.66
2019,497.0,942.0,-445.0,Opole,5191.77
2019,204.0,86.0,118.0,Poznań,6778.56
2019,343.0,59.0,284.0,Rzeszów,5648.5
2019,161.0,138.0,23.0,Szczecin,5892.89
2019,2237.0,302.0,1935.0,Warszawa,9233.07
2019,493.0,166.0,327.0,Wrocław,7085.63
2019,342.0,194.0,148.0,Zielona_Góra,4377.5
2020,351.0,91.0,260.0,Białystok,5765.61
2020,229.0,101.0,128.0,Bydgoszcz,5993.31
2020,207.0,97.0,110.0,Gdańsk,8843.73
2020,244.0,286.0,-42.0,Katowice,6130.36
2020,177.0,93.0,84.0,Kielce,5204.04
2020,309.0,118.0,191.0,Kraków,8308.01
2020,293.0,152.0,141.0,Lublin,6275.44
2020,189.0,150.0,39.0,Łódź,5843.84
2020,165.0,185.0,-20.0,Olsztyn,5968.21
2020,441.0,813.0,-372.0,Opole,5754.27
2020,191.0,63.0,128.0,Poznań,7187.87
2020,302.0,59.0,243.0,Rzeszów,6309.18
2020,132.0,122.0,10.0,Szczecin,6465.48
2020,1841.0,291.0,1550.0,Warszawa,10123.1
2020,405.0,169.0,236.0,Wrocław,7852.74
2020,219.0,107.0,112.0,Zielona_Góra,4850.43
2021,392.0,86.0,306.0,Białystok,5958.46
2021,256.0,189.0,67.0,Bydgoszcz,6325.93
2021,234.0,130.0,104.0,Gdańsk,9412.42
2021,288.0,356.0,-68.0,Katowice,6370.46
2021,232.0,153.0,79.0,Kielce,5477.4
2021,341.0,187.0,154.0,Kraków,8621.93
2021,311.0,186.0,125.0,Lublin,6713.65
2021,201.0,136.0,65.0,Łódź,5966.85
2021,187.0,232.0,-45.0,Olsztyn,6068.26
2021,513.0,1138.0,-625.0,Opole,5790.81
2021,229.0,86.0,143.0,Poznań,7360.96
2021,335.0,141.0,194.0,Rzeszów,6532.18
2021,1547.0,300.0,1247.0,Szczecin,6807.0
2021,2400.0,449.0,1951.0,Warszawa,10400.37
2021,407.0,186.0,221.0,Wrocław,8240.3
2021,239.0,198.0,41.0,Zielona_Góra,5035.43
