rok;im;em;wsp_mig;miasto;cena
2006;302;824;-522;Białystok;2913.0
2006;168;1007;-839;Bydgoszcz;2564.25
2006;195;1596;-1401;Gdańsk;4186.0
2006;nan;nan;nan;Katowice;2861.32
2006;216;904;-688;Kielce;2719.15
2006;427;447;-20;Kraków;6361.75
2006;142;823;-681;Lublin;2994.75
2006;130;526;-396;Łódź;2641.75
2006;205;1222;-1017;Olsztyn;3075.01
2006;831;4792;-3961;Opole;3076.04
2006;106;515;-409;Poznań;3895.46
2006;573;1783;-1210;Rzeszów;2798.75
2006;472;758;-286;Szczecin;3207.28
2006;858;1038;-180;Warszawa;6291.5
2006;457;874;-417;Wrocław;4163.57
2006;217;832;-615;Zielona_Góra;2402.24
2007;317;485;-168;Białystok;4315.38
2007;290;684;-394;Bydgoszcz;3761.0
2007;438;1035;-597;Gdańsk;6160.0
2007;nan;nan;nan;Katowice;4168.97
2007;346;633;-287;Kielce;3735.3
2007;427;336;91;Kraków;7322.12
2007;244;526;-282;Lublin;3969.38
2007;162;418;-256;Łódź;4378.62
2007;291;860;-569;Olsztyn;4011.91
2007;1068;4385;-3317;Opole;3786.0
2007;108;414;-306;Poznań;5973.9
2007;594;1176;-582;Rzeszów;3975.75
2007;543;530;13;Szczecin;4423.58
2007;749;646;103;Warszawa;8234.0
2007;645;704;-59;Wrocław;6073.57
2007;280;715;-435;Zielona_Góra;3217.37
2008;166;229;-63;Białystok;4778.5
2008;200;483;-283;Bydgoszcz;4325.0
2008;162;369;-207;Gdańsk;6451.12
2008;316;1210;-894;Katowice;4632.15
2008;208;445;-237;Kielce;4392.16
2008;205;248;-43;Kraków;7198.62
2008;137;248;-111;Lublin;4879.25
2008;180;325;-145;Łódź;4602.62
2008;267;691;-424;Olsztyn;4537.52
2008;560;2734;-2174;Opole;3848.69
2008;113;334;-221;Poznań;6509.73
2008;249;317;-68;Rzeszów;4203.38
2008;176;285;-109;Szczecin;5063.64
2008;765;434;331;Warszawa;8582.62
2008;733;579;154;Wrocław;5705.2
2008;295;554;-259;Zielona_Góra;3597.79
2009;200;147;53;Białystok;4578.25
2009;207;319;-112;Bydgoszcz;4321.88
2009;183;199;-16;Gdańsk;5692.0
2009;382;809;-427;Katowice;4247.48
2009;259;228;31;Kielce;4377.97
2009;252;135;117;Kraków;6586.75
2009;124;140;-16;Lublin;4709.5
2009;184;163;21;Łódź;4366.75
2009;292;365;-73;Olsztyn;4449.04
2009;647;1522;-875;Opole;3653.36
2009;135;402;-267;Poznań;5770.68
2009;250;154;96;Rzeszów;3968.38
2009;210;115;95;Szczecin;4785.92
